protocol, hwsrc, hwdst, ipsrc, ipdst, whois
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.8,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.8,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.8,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.41.14,172.17.41.14,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.108.69,172.17.108.69,2
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.8,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.8,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.8,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.8,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.8,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.8,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.8,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.8,172.17.97.118,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.105.91,172.17.105.91,2
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,00:00:00:00:00:00,00:00:00:00:00:00,127.0.0.1,127.0.1.1,
2048,00:00:00:00:00:00,00:00:00:00:00:00,127.0.0.1,127.0.1.1,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,200.42.4.203,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,200.49.130.40,
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.56.127,172.17.56.127,1
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.8,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.8,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.8,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.8,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,200.42.4.203,172.17.97.118,
2048,00:00:00:00:00:00,00:00:00:00:00:00,127.0.1.1,127.0.0.1,
2048,00:00:00:00:00:00,00:00:00:00:00:00,127.0.1.1,127.0.0.1,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,185.60.216.22,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,185.60.216.22,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,185.60.216.22,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,200.49.130.40,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,200.49.130.40,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,185.60.216.22,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,185.60.216.22,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,185.60.216.22,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,185.60.216.22,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,185.60.216.22,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,185.60.216.22,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,185.60.216.22,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,185.60.216.22,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,185.60.216.22,172.17.97.118,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,185.60.216.22,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,185.60.216.22,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,185.60.216.22,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,185.60.216.22,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,185.60.216.22,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,185.60.216.22,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,185.60.216.22,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,185.60.216.22,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,185.60.216.22,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,185.60.216.22,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,185.60.216.22,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,185.60.216.22,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,185.60.216.22,172.17.97.118,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,185.60.216.22,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,185.60.216.22,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,185.60.216.22,172.17.97.118,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,185.60.216.22,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,185.60.216.22,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,185.60.216.22,172.17.97.118,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,185.60.216.22,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,185.60.216.22,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,185.60.216.22,172.17.97.118,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,185.60.216.22,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,185.60.216.22,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,185.60.216.22,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,185.60.216.22,172.17.97.118,
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.0.92,172.17.0.92,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.21.242,172.17.21.242,2
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,185.60.216.22,172.17.97.118,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,185.60.216.22,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,185.60.216.22,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,185.60.216.22,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,185.60.216.22,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,185.60.216.22,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,185.60.216.22,
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.10.59,172.17.10.59,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.13.245,172.17.13.245,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.69.219,172.17.69.219,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.35.92,172.17.35.92,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.81.235,172.17.81.235,2
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.8,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.8,
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.95.54,172.17.95.54,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.104.242,172.17.104.242,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.39.100,172.17.39.100,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.59.77,172.17.59.77,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.43.241,172.17.43.241,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.8.129,172.17.8.129,2
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,172.217.28.67,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,172.217.28.67,172.17.97.118,
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.95.75,172.17.95.75,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.73.214,172.17.73.214,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.7.215,172.17.7.215,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.73.178,172.17.73.178,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.19.223,172.17.19.223,1
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.90.77,172.17.90.77,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.48.3,172.17.48.3,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.64.160,172.17.64.160,1
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.44.7,172.17.44.7,2
